[  ] (mg/L);pH;Tempo;Palmitato;Oleato;Flotabilidade (%)
0.2;0;1;0.271;0.482;0.555160458
0.2;0;1;0.271;0.482;0.55868239
0.6;0;1;0.568;0.281;0.583983324
0.6;0;1;0.568;0.281;0.586167869
0.4;0;1;0.271;0.482;0.603886433
0.8;1;1;0.568;0.281;0.613466795
0.2;0.25;1;0;1;0.639407796
0.2;0.25;1;0;1;0.666071209
0.1;0;1;0.115;0.75;0.731765632
0.1;0;1;0.115;0.75;0.734490755
0.3;0;1;0.115;0.75;0.739240589
0.2;0;1;0;1;0.76997857
0.2;0;1;0;1;0.789290772
0.1;0;0.5;0.115;0.75;0.789557806
0.1;0;0.5;0.115;0.75;0.791740483
1;0.75;0;1;0;0.798740415
1;0.75;0;1;0;0.80501919
0.4;0;1;0;1;0.81246148
0.2;0;1;0.115;0.75;0.815341142
0.4;0.25;0.5;0.271;0.482;0.821296861
0.4;0.25;0;0;1;0.834260134
0.2;0;1;0.115;0.75;0.847223735
0.8;0.25;1;0.568;0.281;0.877631414
0.4;0;1;0.115;0.75;0.884727822
1;0.75;0.5;1;0;0.89151382
0.4;0;1;0.115;0.75;0.902824999
0.4;0.25;1;0;1;0.938841345
0.4;0.25;0.5;0;1;0.948259082
0.4;0.25;1;0;1;0.969343556
0.6;0.5;1;0.115;0.75;0.969373304
0.6;0;1;0;1;0.970037021
0.4;0.25;1;0.271;0.482;0.975508319
0.6;0.5;1;0.115;0.75;1
0.6;0.5;0;0.115;0.75;0.372914025
0.4;0.5;1;0;1;0.612692387
0.4;0.75;1;0.115;0.75;0.092420684
0.8;0.75;1;0.568;0.281;0.510899018
0;0;1;0;1;0.048036314
0.2;1;1;0.115;0.75;0.179881548
